code,k,maxtr,ymode,tr_ann,tr_sr,tr_n,tr_bp,tr_win,tr_pf,va_ann,va_sr,va_n,va_bp,va_win,va_pf
CSI500,1.5,1,none,9.265900717256525,0.8351308725743167,571,9.882811623154081,52.88966725043783,1.3040715530410474,-0.06360682040105134,-0.006075647444773494,242,-0.06452459934329885,48.34710743801653,0.9981232271340885
CSI500,1.5,1,all,3.648660625904434,0.36985243341406665,571,3.891583424315972,51.138353765324,1.1233052318512413,-7.968597467196409,-0.7985837883198394,242,-8.083575875305941,43.388429752066116,0.7774397291839504
CSI500,1.5,1,long,9.22564468679004,0.8311391952562703,571,9.839875401632167,52.88966725043783,1.3023510827671183,-0.31012820815403647,-0.029546042711828962,242,-0.3146030292038159,48.34710743801653,0.9909154848748878
CSI500,1.5,3,none,14.346889502524041,0.72447496907536,1062,8.227392563038618,51.03578154425612,1.2822959437571484,-1.1788780667746068,-0.06253419864389073,458,-0.6318884333148366,48.47161572052402,0.9800776656617594
CSI500,1.5,3,all,2.576598539904338,0.1621329615190412,1062,1.4775807439944104,46.98681732580038,1.0526724073211422,-19.289634192567043,-1.123600262015473,458,-10.339404110304663,41.70305676855895,0.6983609497106048
CSI500,1.5,3,long,14.306633472057559,0.7223414537924845,1062,8.204307268792844,51.03578154425612,1.2812810461365975,-1.4253994545275919,-0.0755504902472066,458,-0.7640259442891704,48.47161572052402,0.9760115390970244
CSI500,2.0,1,none,8.567283635633627,0.9253474218916031,351,14.865003365736737,54.98575498575499,1.4599454819881208,5.5990104630713855,0.6685416168473856,141,9.74830620677758,52.4822695035461,1.3221449759737443
CSI500,2.0,1,all,4.176472501639238,0.5252581917004638,351,7.246553334075836,53.84615384615385,1.2321158098453384,-0.17346844776644058,-0.022107389026986054,141,-0.30202185853999114,48.226950354609926,0.9908203944771539
CSI500,2.0,1,long,8.567283635633627,0.9253474218916031,351,14.865003365736737,54.98575498575499,1.4599454819881208,5.5990104630713855,0.6685416168473856,141,9.74830620677758,52.4822695035461,1.3221449759737443
CSI500,2.0,3,none,13.113925710886033,0.8332368238198343,613,13.028704307207658,53.344208809135395,1.444998498825633,8.24429227959532,0.5102807130817527,259,7.814309569399319,51.737451737451735,1.2539924659884853
CSI500,2.0,3,all,3.424065658959532,0.31711954839141443,613,3.401814222724747,48.450244698205545,1.1234113304441675,-6.4873649269193185,-0.45123648115446086,259,-6.149015113653835,43.62934362934363,0.8226904921930223
CSI500,2.0,3,long,13.113925710886033,0.8332368238198343,613,13.028704307207658,53.344208809135395,1.444998498825633,8.24429227959532,0.5102807130817527,259,7.814309569399319,51.737451737451735,1.2539924659884853
CSI500,2.5,1,none,6.787626226176162,0.8765546597430788,216,19.137850205103543,54.166666666666664,1.6395091194123936,3.261363971691098,0.4246424229868438,79,10.1346597792227,51.89873417721519,1.2621856792861657
CSI500,2.5,1,all,3.4853887745381034,0.5387274765474717,216,9.827124542660174,52.77777777777778,1.3399750993431092,-1.380579810230084,-0.1946966421935785,79,-4.290139584601689,45.56962025316456,0.8976627797094457
CSI500,2.5,1,long,6.787626226176162,0.8765546597430788,216,19.137850205103543,54.166666666666664,1.6395091194123936,3.261363971691098,0.4246424229868438,79,10.1346597792227,51.89873417721519,1.2621856792861657
CSI500,2.5,3,none,10.843608157567346,0.7993323343788339,362,18.242914729355437,53.591160220994475,1.6423827310287313,3.8460322502658397,0.2715003792934134,138,6.841807192650381,49.275362318840585,1.1758391727177164
CSI500,2.5,3,all,3.3287824495965004,0.3943829728341452,362,5.600229508310386,46.96132596685083,1.2125288312772027,-7.157087906214951,-0.5627617576457057,138,-12.731930553049292,38.405797101449274,0.7136426240426775
CSI500,2.5,3,long,10.843608157567346,0.7993323343788339,362,18.242914729355437,53.591160220994475,1.6423827310287313,3.8460322502658397,0.2715003792934134,138,6.841807192650381,49.275362318840585,1.1758391727177164
CSI500,3.0,1,none,4.952271774030146,0.6966458229023191,125,24.12811756134032,56.00000000000001,1.6661407559191717,4.992997152936677,0.8004377638384714,48,25.53624739249546,56.25,1.8081564296316015
CSI500,3.0,1,all,2.385258867153408,0.41392864363674065,125,11.621294021606433,51.2,1.3445758956411966,1.1655592203538274,0.19947838293054188,48,5.961150725682569,47.91666666666667,1.1633612387998984
CSI500,3.0,1,long,4.952271774030146,0.6966458229023191,125,24.12811756134032,56.00000000000001,1.6661407559191717,4.992997152936677,0.8004377638384714,48,25.53624739249546,56.25,1.8081564296316015
CSI500,3.0,3,none,7.355425685764478,0.5957932303392202,205,21.85158450429032,54.63414634146342,1.6172230406835928,4.139823510770206,0.3446862152667405,85,11.956385163699869,54.11764705882353,1.3143863276126841
CSI500,3.0,3,all,1.3659758625569591,0.18939031658022165,205,4.058057040702998,43.90243902439025,1.1268774686640883,-3.5414200959500186,-0.31062413299606645,85,-10.228113006143019,41.17647058823529,0.774907911075001
CSI500,3.0,3,long,7.355425685764478,0.5957932303392202,205,21.85158450429032,54.63414634146342,1.6172230406835928,4.139823510770206,0.3446862152667405,85,11.956385163699869,54.11764705882353,1.3143863276126841
CSI1000,1.5,1,none,15.366741188634606,1.3090498223936293,549,17.046625314514483,55.73770491803278,1.5175766826402444,6.212173869494402,0.5679796082368815,225,6.777945624457456,49.333333333333336,1.1922286535045097
CSI1000,1.5,1,all,9.122189374053457,0.9057122731931091,549,10.119422354984799,54.644808743169406,1.319795235339278,-4.993434031937081,-0.4610598711940476,225,-5.448209444681814,45.33333333333333,0.8645612360413334
CSI1000,1.5,1,long,15.366741188634606,1.3090498223936293,549,17.046625314514483,55.73770491803278,1.5175766826402444,6.212173869494402,0.5679796082368815,225,6.777945624457456,49.333333333333336,1.1922286535045097
CSI1000,1.5,3,none,25.61156522358089,1.2288050796328034,1056,14.770703676975126,55.3030303030303,1.514136552408767,10.784703032441048,0.5327985693903061,437,6.058480996016226,49.65675057208238,1.1884852962251857
CSI1000,1.5,3,all,8.789680724317254,0.5855249575413543,1056,5.069185278632419,50.66287878787878,1.1837986031703047,-14.020732839199065,-0.7233421733468224,437,-7.876372970214435,43.47826086956522,0.7898166455410789
CSI1000,1.5,3,long,25.61156522358089,1.2288050796328034,1056,14.770703676975126,55.3030303030303,1.514136552408767,10.784703032441048,0.5327985693903061,437,6.058480996016226,49.65675057208238,1.1884852962251857
CSI1000,2.0,1,none,12.009473457567461,1.2135741181760558,347,21.077712427298678,57.34870317002881,1.6553296399398996,7.585107345453683,0.8027305299455716,142,13.113251269703174,52.816901408450704,1.3656828646839334
CSI1000,2.0,1,all,6.038291134327287,0.7561626849087898,347,10.597747231079449,56.48414985590778,1.3448506310024768,-1.4873478362476713,-0.15809442584663017,142,-2.5713500170640624,47.88732394366197,0.9394130354301653
CSI1000,2.0,1,long,12.009473457567461,1.2135741181760558,347,21.077712427298678,57.34870317002881,1.6553296399398996,7.585107345453683,0.8027305299455716,142,13.113251269703174,52.816901408450704,1.3656828646839334
CSI1000,2.0,3,none,20.5808008218357,1.1844796566574778,613,20.447055612847226,57.25938009787929,1.7134386363926282,7.0654113769531195,0.41739428411040835,266,6.520678871556321,48.87218045112782,1.184540438597724
CSI1000,2.0,3,all,5.385860094375916,0.5027357798653965,613,5.350859853610706,50.89722675367048,1.1944966794272607,-13.164721173396298,-0.8130619214379795,266,-12.149741129767635,42.10526315789473,0.7171500353448045
CSI1000,2.0,3,long,20.5808008218357,1.1844796566574778,613,20.447055612847226,57.25938009787929,1.7134386363926282,7.0654113769531195,0.41739428411040835,266,6.520678871556321,48.87218045112782,1.184540438597724
CSI1000,2.5,1,none,9.638013510492254,1.0817069193816287,210,27.950991562434588,59.523809523809526,1.79115671536523,4.340067812516811,0.5788579929077063,85,12.534718513488759,52.94117647058824,1.351809051602473
CSI1000,2.5,1,all,4.383776487604605,0.6258669832388816,210,12.713294029235827,58.0952380952381,1.3830141061650627,-4.239497555715215,-0.5646754436942168,85,-12.244257646448482,44.70588235294118,0.7395200036020259
CSI1000,2.5,1,long,9.638013510492254,1.0817069193816287,210,27.950991562434588,59.523809523809526,1.79115671536523,4.340067812516811,0.5788579929077063,85,12.534718513488759,52.94117647058824,1.351809051602473
CSI1000,2.5,3,none,16.378765368942936,1.0497655321225545,362,27.555073519438,59.66850828729282,1.862022660227188,6.028013074298532,0.44994039344977,148,9.998836485115248,49.32432432432432,1.2861445874252289
CSI1000,2.5,3,all,3.411523996997486,0.3924877373235912,362,5.7394310519181495,50.27624309392266,1.1908693761193963,-11.56474075635805,-0.9007974622624969,148,-19.18276393735732,39.86486486486486,0.602765621198243
CSI1000,2.5,3,long,16.378765368942936,1.0497655321225545,362,27.555073519438,59.66850828729282,1.862022660227188,6.028013074298532,0.44994039344977,148,9.998836485115248,49.32432432432432,1.2861445874252289
CSI1000,3.0,1,none,9.13217607192685,1.1894234881045163,130,42.78188412006083,61.53846153846154,2.394440405818991,4.044453846671942,0.5905183593132896,54,18.38667163142451,51.85185185185185,1.516217013844173
CSI1000,3.0,1,all,4.881932200204635,0.8574203400223179,130,22.87059032000027,56.92307692307692,1.8374720383124858,-3.2477563135213967,-0.4695472022345016,54,-14.764769518816927,42.592592592592595,0.7152289236891524
CSI1000,3.0,1,long,9.13217607192685,1.1894234881045163,130,42.78188412006083,61.53846153846154,2.394440405818991,4.044453846671942,0.5905183593132896,54,18.38667163142451,51.85185185185185,1.516217013844173
CSI1000,3.0,3,none,14.28724090157736,1.0012532398578702,223,39.01867231445995,60.53811659192825,2.2559995116378952,6.779805343258557,0.696472007011718,87,19.13088091488541,49.42528735632184,1.6157286404057811
CSI1000,3.0,3,all,3.22593838022984,0.4508899050452381,223,8.810086806258804,46.63677130044843,1.3119630521271317,-8.589460759170866,-0.8956756859719649,87,-24.237266792648146,36.7816091954023,0.5337728062334347
CSI1000,3.0,3,long,14.28724090157736,1.0012532398578702,223,39.01867231445995,60.53811659192825,2.2559995116378952,6.779805343258557,0.696472007011718,87,19.13088091488541,49.42528735632184,1.6157286404057811
CNI2000,1.5,1,none,19.80925480674446,1.7123080008551455,520,23.200309459979707,59.42307692307692,1.7804271510461367,3.771989534215652,0.35416519048658274,230,4.02605440305626,50.43478260869565,1.112458573355036
CNI2000,1.5,1,all,13.00430816018886,1.2977676090492607,520,15.230455490259015,58.269230769230774,1.5323257336711174,-8.57813374068781,-0.8299876678201713,230,-9.155919655509626,45.21739130434783,0.7739534640878034
CNI2000,1.5,1,long,19.80925480674446,1.7123080008551455,520,23.200309459979707,59.42307692307692,1.7804271510461367,3.771989534215652,0.35416519048658274,230,4.02605440305626,50.43478260869565,1.112458573355036
CNI2000,1.5,3,none,30.42127173964138,1.4333550448844705,1027,18.03997390342199,57.156767283349566,1.6779461244640577,9.633322470255798,0.49559371116564005,429,5.5125913864526925,51.515151515151516,1.1698495617233526
CNI2000,1.5,3,all,13.111395911220583,0.8248569363446017,1027,7.775126631791536,52.093476144109054,1.3058687145012378,-18.953905519858036,-1.0621804520246563,429,-10.846220152083541,43.58974358974359,0.7127531790297366
CNI2000,1.5,3,long,30.42127173964138,1.4333550448844705,1027,18.03997390342199,57.156767283349566,1.6779461244640577,9.633322470255798,0.49559371116564005,429,5.5125913864526925,51.515151515151516,1.1698495617233526
CNI2000,2.0,1,none,14.138934631784059,1.4700062850119262,342,25.177903440263528,59.06432748538012,1.878993247746675,6.177537884019648,0.7074357236597253,138,10.989383441814471,54.347826086956516,1.3026841146270673
CNI2000,2.0,1,all,8.076198515243837,1.0438479163608119,342,14.381687989708967,58.187134502923975,1.5337181826971047,-5.019720232586234,-0.5963644588495126,138,-8.9297113902327,47.10144927536232,0.7952891141644429
CNI2000,2.0,1,long,14.138934631784059,1.4700062850119262,342,25.177903440263528,59.06432748538012,1.878993247746675,6.177537884019648,0.7074357236597253,138,10.989383441814471,54.347826086956516,1.3026841146270673
CNI2000,2.0,3,none,21.309292599330195,1.2586305552533563,609,21.309866216186617,58.45648604269294,1.7799410750901026,9.030809883283252,0.5421055198751477,260,8.526883858900792,53.46153846153846,1.2469704543671691
CNI2000,2.0,3,all,6.6317855370317425,0.6433414871682546,609,6.631964055579669,51.88834154351396,1.2612199491413454,-14.82436997345175,-0.9739389649171347,260,-13.997158912511983,43.84615384615385,0.6710318671804564
